processing_timestamp,original_timestamp,type,sensor_id,temperature,humidity,status,user,action
2025-04-10T20:34:23.795360,2025-04-10T20:34:23.535864,sensor,sensor_2,20.2,58.02,Normal,,
2025-04-10T20:34:25.243158,2025-04-10T20:34:24.644467,sensor,sensor_2,19.94,58.7,Normal,,
2025-04-10T20:34:25.976139,2025-04-10T20:34:25.648055,sensor,sensor_5,22.08,47.03,Normal,,
2025-04-10T20:34:26.704982,2025-04-10T20:34:26.653255,sensor,sensor_1,24.92,56.67,Warning,,
2025-04-10T20:34:28.181204,2025-04-10T20:34:27.662192,sensor,sensor_2,18.98,50.47,Low,,
2025-04-10T20:34:28.895677,2025-04-10T20:34:28.666562,sensor,sensor_1,22.67,57.04,Normal,,
2025-04-10T20:34:29.674778,2025-04-10T20:34:29.673309,sensor,sensor_3,20.83,46.78,Normal,,
2025-04-10T20:34:31.158432,2025-04-10T20:34:30.675434,sensor,sensor_1,19.52,43.5,Normal,,
2025-04-10T20:34:31.894206,2025-04-10T20:34:31.681240,sensor,sensor_2,21.72,51.08,Normal,,
2025-04-10T20:34:32.691008,2025-04-10T20:34:32.687947,sensor,sensor_5,18.65,50.62,Low,,
