processing_timestamp,original_timestamp,type,sensor_id,temperature,humidity,status
2025-04-10T22:02:52.369713,2025-04-10T22:01:26.331696,sensor,sensor_1,19.79,58.22,Normal
2025-04-10T22:02:52.392603,2025-04-10T22:01:26.431123,sensor,sensor_17,24.84,49.94,Warning
2025-04-10T22:02:52.414859,2025-04-10T22:01:26.570681,sensor,sensor_3,24.77,68.83,Warning
2025-04-10T22:02:52.418245,2025-04-10T22:01:26.592184,sensor,sensor_10,20.14,46.58,Normal
2025-04-10T22:02:52.483624,2025-04-10T22:01:27.004282,sensor,sensor_20,15.22,68.96,Low
2025-04-10T22:02:52.519380,2025-04-10T22:01:27.230749,sensor,sensor_7,22.38,44.26,Normal
2025-04-10T22:02:52.563930,2025-04-10T22:01:27.480841,sensor,sensor_6,23.17,35.69,Normal
2025-04-10T22:02:52.586706,2025-04-10T22:01:27.620341,sensor,sensor_2,21.79,68.4,Normal
2025-04-10T22:02:52.592148,2025-04-10T22:01:27.654454,sensor,sensor_8,18.68,53.09,Low
2025-04-10T22:02:52.611330,2025-04-10T22:01:27.761643,sensor,sensor_20,19.08,61.28,Normal
2025-04-10T22:02:52.615195,2025-04-10T22:01:27.784106,sensor,sensor_5,26.25,37.47,Warning
2025-04-10T22:02:52.620600,2025-04-10T22:01:27.819906,sensor,sensor_7,28.37,57.59,Warning
2025-04-10T22:02:52.640999,2025-04-10T22:01:27.945135,sensor,sensor_2,21.18,46.05,Normal
2025-04-10T22:02:52.677811,2025-04-10T22:01:28.200246,sensor,sensor_20,19.63,62.35,Normal
2025-04-10T22:02:52.695019,2025-04-10T22:01:28.326159,sensor,sensor_1,26.16,38.33,Warning
2025-04-10T22:02:52.711687,2025-04-10T22:01:28.440332,sensor,sensor_8,18.72,41.53,Low
2025-04-10T22:02:52.731818,2025-04-10T22:01:28.574230,sensor,sensor_8,18.04,65.99,Low
2025-04-10T22:02:52.762521,2025-04-10T22:01:28.769778,sensor,sensor_12,16.68,38.13,Low
2025-04-10T22:02:52.777744,2025-04-10T22:01:28.851723,sensor,sensor_19,19.82,44.13,Normal
2025-04-10T22:02:52.785950,2025-04-10T22:01:28.910761,sensor,sensor_8,19.41,43.06,Normal
2025-04-10T22:02:52.787154,2025-04-10T22:01:28.923986,sensor,sensor_17,26.94,61.6,Warning
2025-04-10T22:02:52.788196,2025-04-10T22:01:28.935681,sensor,sensor_3,16.94,64.36,Low
2025-04-10T22:02:52.886327,2025-04-10T22:01:29.657302,sensor,sensor_14,26.01,55.37,Warning
2025-04-10T22:02:52.901553,2025-04-10T22:01:29.794250,sensor,sensor_14,19.78,44.34,Normal
2025-04-10T22:02:52.903776,2025-04-10T22:01:29.817647,sensor,sensor_18,22.97,40.72,Normal
2025-04-10T22:02:52.913273,2025-04-10T22:01:29.898250,sensor,sensor_12,17.19,44.85,Low
2025-04-10T22:02:52.944327,2025-04-10T22:01:30.185115,sensor,sensor_13,23.13,51.8,Normal
2025-04-10T22:02:52.960866,2025-04-10T22:01:30.369332,sensor,sensor_8,29.0,43.84,Warning
2025-04-10T22:02:52.964232,2025-04-10T22:01:30.403349,sensor,sensor_11,22.41,44.04,Normal
2025-04-10T22:02:52.989907,2025-04-10T22:01:30.645164,sensor,sensor_9,17.44,57.53,Low
2025-04-10T22:02:53.013023,2025-04-10T22:01:30.834376,sensor,sensor_19,21.44,40.42,Normal
2025-04-10T22:02:53.019666,2025-04-10T22:01:30.868605,sensor,sensor_20,18.56,62.86,Low
2025-04-10T22:02:53.055223,2025-04-10T22:01:31.038451,sensor,sensor_3,27.88,54.55,Warning
2025-04-10T22:02:53.086145,2025-04-10T22:01:31.216217,sensor,sensor_13,28.89,69.22,Warning
2025-04-10T22:02:53.092741,2025-04-10T22:01:31.254628,sensor,sensor_3,20.89,61.25,Normal
2025-04-10T22:02:53.106770,2025-04-10T22:01:31.337014,sensor,sensor_19,23.06,66.79,Normal
2025-04-10T22:02:52.347156,2025-04-10T22:01:26.239329,sensor,sensor_4,18.17,60.06,Low
2025-04-10T22:02:52.350761,2025-04-10T22:01:26.251077,sensor,sensor_2,28.49,50.75,Warning
2025-04-10T22:02:52.385063,2025-04-10T22:01:26.388194,sensor,sensor_4,22.99,43.03,Normal
2025-04-10T22:02:52.388176,2025-04-10T22:01:26.409606,sensor,sensor_9,27.25,44.16,Warning
2025-04-10T22:02:52.403372,2025-04-10T22:01:26.488352,sensor,sensor_8,19.24,38.39,Normal
2025-04-10T22:02:52.408853,2025-04-10T22:01:26.525022,sensor,sensor_15,24.84,46.63,Warning
2025-04-10T22:02:52.461909,2025-04-10T22:01:26.870583,sensor,sensor_2,27.97,47.26,Warning
2025-04-10T22:02:52.474223,2025-04-10T22:01:26.949202,sensor,sensor_12,22.18,34.8,Normal
2025-04-10T22:02:52.505137,2025-04-10T22:01:27.153467,sensor,sensor_15,19.93,54.29,Normal
2025-04-10T22:02:52.580829,2025-04-10T22:01:27.585170,sensor,sensor_16,21.59,45.54,Normal
2025-04-10T22:02:52.582760,2025-04-10T22:01:27.596408,sensor,sensor_20,29.49,44.28,Warning
2025-04-10T22:02:52.613580,2025-04-10T22:01:27.773212,sensor,sensor_11,22.95,65.35,Normal
2025-04-10T22:02:52.642698,2025-04-10T22:01:27.958421,sensor,sensor_15,22.62,35.4,Normal
2025-04-10T22:02:52.662918,2025-04-10T22:01:28.099125,sensor,sensor_7,27.51,68.97,Warning
2025-04-10T22:02:52.697754,2025-04-10T22:01:28.348720,sensor,sensor_11,25.75,58.87,Warning
2025-04-10T22:02:52.703347,2025-04-10T22:01:28.394073,sensor,sensor_1,24.49,60.4,Warning
2025-04-10T22:02:52.716514,2025-04-10T22:01:28.472265,sensor,sensor_2,18.27,58.95,Low
