humidity,original_timestamp,processing_timestamp,sensor_id,source_partition,status,temperature,type
57.96,2025-04-11T07:19:10.843391,2025-04-11T07:19:28.076676,sensor_1,0,Normal,19.18,sensor
42.64,2025-04-11T07:19:12.890799,2025-04-11T07:19:28.079962,sensor_5,0,Warning,24.29,sensor
51.64,2025-04-11T07:19:11.865299,2025-04-11T07:19:28.116974,sensor_5,2,Normal,19.2,sensor
49.74,2025-04-11T07:19:19.960762,2025-04-11T07:19:28.118812,sensor_4,2,Low,18.81,sensor
46.89,2025-04-11T07:19:22.987455,2025-04-11T07:19:27.938921,sensor_1,1,Low,18.29,sensor
50.86,2025-04-11T07:19:17.942396,2025-04-11T07:19:28.097406,sensor_4,0,Low,18.01,sensor
56.52,2025-04-11T07:19:16.931306,2025-04-11T07:19:28.092697,sensor_5,0,Normal,23.71,sensor
57.44,2025-04-11T07:19:30.059553,2025-04-11T07:19:30.069240,sensor_3,2,Normal,19.3,sensor
43.83,2025-04-11T07:19:31.069238,2025-04-11T07:19:31.229230,sensor_5,1,Normal,21.72,sensor
59.39,2025-04-11T07:19:32.074058,2025-04-11T07:19:32.084662,sensor_3,2,Normal,19.35,sensor
51.77,2025-04-11T07:19:33.089157,2025-04-11T07:19:33.099728,sensor_1,0,Normal,21.19,sensor
47.86,2025-04-11T07:19:34.105338,2025-04-11T07:19:34.125023,sensor_4,0,Normal,20.48,sensor
40.16,2025-04-11T07:19:36.126243,2025-04-11T07:19:36.128701,sensor_3,0,Normal,20.41,sensor
50.61,2025-04-11T07:19:37.129509,2025-04-11T07:19:37.138130,sensor_4,2,Normal,23.81,sensor
56.55,2025-04-11T07:19:39.151882,2025-04-11T07:19:39.155774,sensor_1,0,Warning,24.23,sensor
40.88,2025-04-11T07:19:38.139077,2025-04-11T07:19:38.349383,sensor_1,0,Normal,20.46,sensor
54.24,2025-04-11T07:19:40.157105,2025-04-11T07:19:40.163368,sensor_4,2,Warning,24.94,sensor
45.44,2025-04-11T07:19:41.164351,2025-04-11T07:19:41.170049,sensor_2,0,Normal,21.56,sensor
54.01,2025-04-11T07:19:45.205168,2025-04-11T07:19:45.214037,sensor_4,2,Low,18.48,sensor
50.58,2025-04-11T07:19:46.215774,2025-04-11T07:19:46.217914,sensor_2,1,Normal,20.41,sensor
46.61,2025-04-11T07:19:47.220228,2025-04-11T07:19:47.430117,sensor_2,0,Normal,23.4,sensor
47.25,2025-04-11T07:19:49.242807,2025-04-11T07:19:49.244540,sensor_4,2,Normal,19.71,sensor
43.73,2025-04-11T07:19:51.256740,2025-04-11T07:19:51.262127,sensor_1,2,Normal,22.05,sensor
40.2,2025-04-11T07:19:52.262708,2025-04-11T07:19:52.267527,sensor_3,0,Warning,24.36,sensor
48.0,2025-04-11T07:19:53.267933,2025-04-11T07:19:53.273200,sensor_5,2,Normal,21.85,sensor
52.81,2025-04-11T07:19:55.279903,2025-04-11T07:19:55.284254,sensor_3,1,Normal,22.28,sensor
